longname,hashname
1.5.1.12: Transferred entry: 1.2.1.88,kETcAtVdSPXe
2.3.1.50: Serine C-palmitoyltransferase,VUkJccyGhAHW
2.8.1.7: Cysteine desulfurase,tdxECBZTvKGz
5.3.1.16: isomerase,OVbTkoEgNhfA
2.5.1.47: Cysteine synthase,SRErZtptiWoZ
4.1.2.53: 2-keto-3-deoxy-L-rhamnonate aldolase,uRhwXWSlLPNk
4.1.3.4: Hydroxymethylglutaryl-CoA lyase,FyMVGoZYOBpU
4.2.1.18: Methylglutaconyl-CoA hydratase,dPyUEuoAadBd
1.1.1.341: CDP-abequose synthase,rLmtqpnzqbuL
3.2.1.18: Exo-alpha-sialidase,gFsSwBZjDMWa
"3.2.1.6: Endo-1,3(4)-beta-glucanase",SivjzWPHStMb
2.1.1.174: 23S rRNA (guanine(1835)-N(2))-methyltransferase,UKpMzxHexylH
3.1.2.30: (3S)-malyl-CoA thioesterase,dFkSrzQSRUZB
1.6.5.8: NADH:ubiquinone reductase (Na(+)-transporting),wcMpWWtiyvcp
4.1.3.30: Methylisocitrate lyase,ZYNXehOgiBxB
1.18.1.3: Ferredoxin--NAD(+) reductase,hYLajiOauQsE
5.1.99.1: Methylmalonyl-CoA epimerase,KesOGQGniDIj
3.4.21.88: Repressor LexA,bmGMUputGoIq
3.5.4.29: GTP cyclohydrolase IIa,gTnlNvOkRdTB
1.7.3.3: Factor independent urate hydroxylase,gemAIjZkaZGD
1.11.1.6: Catalase,AlXSwVqkpLVQ
4.2.99.9: Transferred entry: 2.5.1.48,VxlaKoqWHBfr
1.1.3.21: Glycerol-3-phosphate oxidase,ZAkootUhnDNI
4.1.1.20: Diaminopimelate decarboxylase,vNHovuSwLNrL
1.1.1.121: Aldose 1-dehydrogenase (NAD(+)),PijaZSREfSma
3.6.1.17: Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical),JlQoflPKsdzz
2.1.1.230: 23S rRNA (adenosine(1067)-2'-O)-methyltransferase,XcsXOCajoNEq
1.2.99.5: Formylmethanofuran dehydrogenase,ZyrFhTCxOzrl
2.7.1.202: NO_NAME,kRTsoXelWLzg
4.1.1.48: Indole-3-glycerol-phosphate synthase,kybYxAmtISAA
4.2.3.134: 5-phosphonooxy-L-lysine phospho-lyase,YRGvWIeOqKIK
1.1.1.42: Isocitrate dehydrogenase (NADP(+)),eAUSOupWOlgF
1.3.1.98: UDP-N-acetylmuramate dehydrogenase,PupRyvNczBkR
3.4.17.4: Gly-Xaa carboxypeptidase,VzPLjyifpOJG
"1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase",tMRlEUdadibm
6.4.1.2: Acetyl-CoA carboxylase,VkLBHDmyNifP
2.1.1.186: 23S rRNA (cytidine(2498)-2'-O)-methyltransferase,ePcmwEeupkWk
6.3.1.11: Glutamate--putrescine ligase,HDxmefsaXSEr
3.5.4.10: IMP cyclohydrolase,xPQRrwxnPMYw
6.2.1.25: Benzoate--CoA ligase,IpyTYujJkqlI
1.14.13.8: Flavin-containing monooxygenase,BotAbtNMuGPm
3.1.3.22: Mannitol-1-phosphatase,qPwtXiNDnFZO
"6.3.5.9: Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)",fEWweJbvdvwa
2.7.7.76: Molybdenum cofactor cytidylyltransferase,KKAqBEOzLmVK
1.5.3.2: N-methyl-L-amino-acid oxidase,yiorWoEPOuud
"1.13.11.16: 3-carboxyethylcatechol 2,3-dioxygenase",YWkEfYGOdDJA
3.2.1.196: NO_NAME,AwiVqnfgeLOO
3.1.3.45: 3-deoxy-manno-octulosonate-8-phosphatase,HUCdtfCdXkvD
3.5.2.17: Hydroxyisourate hydrolase,IdVhIBUcmCOg
3.5.1.38: Glutamin-(asparagin-)ase,KFIPXpasaQos
3.6.3.19: Maltose-transporting ATPase,CJDrGtYgHLYf
3.4.24.78: GPR endopeptidase,BuTWTjgzDAkm
1.2.7.7: 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin),MOZsJbbWasly
1.14.13.39: Nitric-oxide synthase (NADPH),eNucuVOShlrM
"1.13.11.8: Protocatechuate 4,5-dioxygenase",LkFeogDhaywf
1.3.1.54: Precorrin-6A reductase,dgKpgzooEWEQ
2.3.1.1: Amino-acid N-acetyltransferase,QQVmbhKYXndc
2.7.7.77: Molybdenum cofactor guanylyltransferase,IKCWmqreXzow
"2.4.1.280: N,N'-diacetylchitobiose phosphorylase",HMRhrQEVzYhu
2.7.1.95: Kanamycin kinase,SweumDjQqfcI
3.1.3.18: Phosphoglycolate phosphatase,cDNoTaowzDrP
4.2.1.19: Imidazoleglycerol-phosphate dehydratase,UIjuEECjLuOo
4.2.1.120: 4-hydroxybutanoyl-CoA dehydratase,OrhcvLynYWhQ
"3.1.7.2: Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",UTHsYIktrwAQ
"1.13.11.11: Tryptophan 2,3-dioxygenase",tfpEvSUFQawb
2.3.1.53: Phenylalanine N-acetyltransferase,rTKMYLfYgXMt
3.4.22.39: Adenain,PjpgtopaAzMn
1.3.1.2: Dihydropyrimidine dehydrogenase (NADP(+)),eZbHBssONuIp
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+)),tHzjHhugVBZO
2.4.1.250: D-inositol-3-phosphate glycosyltransferase,hcNKxrtVjJjj
3.5.1.111: 2-oxoglutaramate amidase,zWULqBimBTQY
3.4.13.20: Beta-Ala-His dipeptidase,duGlAcIiFdgh
3.6.3.12: Potassium-transporting ATPase,rLEbIWQLOpbH
5.3.1.22: Hydroxypyruvate isomerase,FBzyomNsTVSo
2.7.1.161: CTP-dependent riboflavin kinase,HCoXszoMzCgD
3.2.1.22: Alpha-galactosidase,cUFJINbpTZVP
2.8.3.15: Succinyl-CoA:(R)-benzylsuccinate CoA-transferase,YaQYTVqLNyjs
4.3.2.3: Ureidoglycolate lyase,SwwpvzkhzyzU
3.5.5.7: Aliphatic nitrilase,CPXzDcGwdXXh
4.2.1.70: Pseudouridylate synthase,jUUMlIutQojt
2.3.1.12: Dihydrolipoyllysine-residue acetyltransferase,lWUHQZMkNKSh
2.7.7.6: DNA-directed RNA polymerase,QRbtbHnJyglR
3.1.11.6: Exodeoxyribonuclease VII,cWbHWMiqUkRJ
2.1.1.265: Tellurite methyltransferase,OJoFxjHMgJWn
4.1.1.49: Phosphoenolpyruvate carboxykinase (ATP),codHDVYdccFd
4.2.1.24: Porphobilinogen synthase,rnqulYDJkiyr
1.3.1.95: Acryloyl-CoA reductase (NADH),seGlnQUSlxgG
2.4.1.56: Lipopolysaccharide N-acetylglucosaminyltransferase,wZHUOCJXnuhV
3.4.11.1: Leucyl aminopeptidase,NhMCaGIMVITm
2.4.1.345: NO_NAME,DCTZXGJWkDoT
2.4.99.16: Starch synthase (maltosyl-transferring),HbfvnbdWQDGx
1.3.99.22: Coproporphyrinogen dehydrogenase,iuwHjlYRgyuX
1.1.1.47: Glucose 1-dehydrogenase (NAD(P)(+)),tFoffltrcoBP
1.4.3.3: D-amino-acid oxidase,kERJWfeggJoP
3.5.99.4: N-isopropylammelide isopropylaminohydrolase,KYDlreeLZTdj
2.7.7.87: L-threonylcarbamoyladenylate synthase,FrzPfMXAYPvR
2.6.1.88: Methionine transaminase,OZvGXJnrvttX
2.6.1.37: 2-aminoethylphosphonate--pyruvate transaminase,DpnQCzUpbDGR
2.7.1.177: L-threonine kinase,BEqqZnGfVLpL
3.6.4.6: Vesicle-fusing ATPase,hKZrwuahLQef
1.1.1.83: D-malate dehydrogenase (decarboxylating),WjokLrbCcIGo
2.3.2.17: glycyltransferase,DjNljYhqNJZX
2.7.1.78: Polynucleotide 5'-hydroxyl-kinase,YLeBJYQZPjQe
2.6.1.57: Aromatic-amino-acid transaminase,RDnxfNWmwJof
2.4.1.266: Glucosyl-3-phosphoglycerate synthase,OynINndKlKTB
2.4.2.17: ATP phosphoribosyltransferase,pWdpObAZTVEc
2.4.1.306: acetylgalactosaminyltransferase,cQhRyhGWrfjD
2.7.1.85: Beta-glucoside kinase,omPTYglhBnhR
"1.13.11.4: Gentisate 1,2-dioxygenase",DAutBfejTmuE
1.1.1.399: NO_NAME,anwSlCnupnSI
1.8.4.13: L-methionine (S)-S-oxide reductase,SYZOQgJNyZCm
3.6.3.20: Glycerol-3-phosphate-transporting ATPase,jImZbbfbekCd
"3.1.4.53: 3',5'-cyclic-AMP phosphodiesterase",yttVuJyXNkhC
2.4.1.187: mannosaminyltransferase,ZlKOfXNnDmYn
1.14.11.17: Taurine dioxygenase,AOtblGYhvufC
"2.7.1.181: Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase",GkdiAitsttDG
3.6.3.9: Sodium/potassium-exchanging ATPase,JhquRwXIxcrD
1.3.99.7: Transferred entry: 1.3.8.6,YeeookJDOqpv
2.7.11.5: [Isocitrate dehydrogenase (NADP(+))] kinase,jLezSpqfRqgs
3.1.1.85: Pimeloyl-[acyl-carrier protein] methyl ester esterase,FTacvMSShTxT
"3.7.1.13: 2-hydroxy-6-oxo-6-(2-aminophenyl)hexa-2,4-dienoate hydrolase",RnWYqywAxmHx
3.6.4.13: RNA helicase,agCuECYbnhOF
4.2.1.109: Methylthioribulose 1-phosphate dehydratase,SCARkWlzUUxp
4.3.1.28: L-lysine cyclodeaminase,MYDFIIAeLiqz
4.1.99.23: NO_NAME,wnDQZNKaAZmk
1.8.1.2: Assimilatory sulfite reductase (NADPH),uzGNntfvvIiK
"4.1.3.36: 1,4-dihydroxy-2-naphthoyl-CoA synthase",WnHObIDYaCmS
5.4.99.43: 21S rRNA pseudouridine(2819) synthase,wOfdpzfkcyTG
4.3.1.17: L-serine ammonia-lyase,HpmNNqcoZbWU
5.4.99.25: tRNA pseudouridine(55) synthase,bsYudZsmaPRd
2.1.1.217: tRNA (adenine(22)-N(1))-methyltransferase,EACpLHKNcwPf
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase,YJDaHnHkAktf
1.1.1.381: 3-hydroxy acid dehydrogenase,NgNlOVRrOIru
2.4.2.1: Purine-nucleoside phosphorylase,CqTzDBaVLwPq
"1.14.12.18: Biphenyl 2,3-dioxygenase",MRFyYjtQFfBO
2.5.1.18: Glutathione transferase,CTuZjNigSzRN
1.4.99.2: Taurine dehydrogenase,mWWzSiKhmIRf
6.5.1.3: RNA ligase (ATP),knmkYFbSuwis
3.5.2.2: Dihydropyrimidinase,ZVODmCOLkyEV
2.4.2.14: Amidophosphoribosyltransferase,JlURSyrxtKob
2.7.2.7: Butyrate kinase,FCbPbSlTGldV
1.1.3.15: (S)-2-hydroxy-acid oxidase,VFQVRDRLjIPY
2.7.8.42: Kdo(2)-lipid A phosphoethanolamine 7''-transferase,jIjDOslUOXFn
3.1.11.3: Exodeoxyribonuclease (lambda-induced),rQhAcUjfUfKy
4.2.2.9: Pectate disaccharide-lyase,LKkxgMzCtBlu
3.6.3.17: Monosaccharide-transporting ATPase,pyPlMJjUUfiI
3.6.3.54: Cu(+) exporting ATPase,nnlBbORKewsR
1.8.99.2: Adenylyl-sulfate reductase,hnYhdHUyVOxe
3.4.11.18: Methionyl aminopeptidase,zwaQIFSzRYHF
1.8.5.3: Dimethylsulfoxide reductase,qdrjpfbjCULO
2.3.1.31: Homoserine O-acetyltransferase,SYvkEYiYnWcL
2.3.1.190: Acetoin dehydrogenase,FvOXXqZpNbGb
1.8.7.1: Assimilatory sulfite reductase (ferredoxin),odQJLOsLWmBy
2.3.1.5: Arylamine N-acetyltransferase,HSsHtIRnRSkO
2.4.2.10: Orotate phosphoribosyltransferase,TIRsTDvxAkFw
1.2.2.2: Deleted entry,FpBSTMfLNBti
3.1.3.100: NO_NAME,wclmPwOFLEvM
1.14.99.3: Heme oxygenase (biliverdin-producing),HtpkzKSQANDM
3.4.24.15: Thimet oligopeptidase,NOHwwaxCxnaD
2.7.4.3: Adenylate kinase,MDTKqzjRgXIQ
1.10.3.10: Ubiquinol oxidase (H(+)-transporting),vIKNAEkymCBm
2.3.1.241: Kdo(2)-lipid IV(A) lauroyltransferase,VGQEdBgxAxbR
1.1.1.350: Ureidoglycolate dehydrogenase (NAD(+)),seQLwABdXMWQ
3.11.1.1: Phosphonoacetaldehyde hydrolase,CAIGixPdfEEG
1.14.11.1: Gamma-butyrobetaine dioxygenase,dSzOnfVXrSuX
5.3.1.n1: Transferred entry: 5.3.1.30,gMwIWJjoRJhW
3.1.1.4: Phospholipase A(2),EbolxaEpsFsT
4.4.1.23: 2-hydroxypropyl-CoM lyase,EWDzNcUCCcuN
"3.2.1.n1: Blood group B branched chain alpha-1,3-galactosidase",PggttjZJtuzm
4.2.3.153: NO_NAME,rSekKeUeXQLH
2.2.1.7: 1-deoxy-D-xylulose-5-phosphate synthase,UnhiFlQISphb
1.1.1.8: Glycerol-3-phosphate dehydrogenase (NAD(+)),nwLmkWfMiYQM
2.7.7.53: ATP adenylyltransferase,nYXtAaVnuPXx
1.2.7.4: Carbon-monoxide dehydrogenase (ferredoxin),lOkRYDAKfvqy
3.1.3.37: Sedoheptulose-bisphosphatase,xJOWqGZAEkKO
4.2.1.22: Cystathionine beta-synthase,sEuhGaiaNObR
3.5.1.46: 6-aminohexanoate-oligomer exohydrolase,PByXAOlRXMMd
5.1.1.13: Aspartate racemase,QKSoqNSovUYc
6.3.1.5: NAD(+) synthase,FDUcHnPFthAt
1.7.2.2: Nitrite reductase (cytochrome; ammonia-forming),ustDItBEhAlI
1.1.1.9: D-xylulose reductase,AdSKINkcspDq
3.4.21.102: C-terminal processing peptidase,mdgbcnybzHpX
7.1.1.1: NO_NAME,ogKfpqwRXJBT
1.13.11.53: Acireductone dioxygenase (Ni(2+)-requiring),uuoEKYilDWWe
2.1.1.61: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,DpkzPKyjeCqU
2.7.2.15: Propionate kinase,trewOqJJebxp
3.5.1.6: Beta-ureidopropionase,xnlbUNOXUJVh
4.99.1.11: NO_NAME,yzjNMsPbtkTP
"2.7.4.23: Ribose 1,5-bisphosphate phosphokinase",HCIhvZLnWQAk
2.5.1.90: All-trans-octaprenyl-diphosphate synthase,BknKeVYGPMrn
"4.2.1.47: GDP-mannose 4,6-dehydratase",MlEKribviLYS
2.7.1.208: NO_NAME,qgFQusIKcTEI
3.2.1.135: Neopullulanase,yFBBzjCpziaj
1.3.99.24: 2-amino-4-deoxychorismate dehydrogenase,RTDKXWAQOTlz
2.1.1.107: Uroporphyrinogen-III C-methyltransferase,WtDxfWwCxKke
3.5.1.14: N-acyl-aliphatic-L-amino acid amidohydrolase,hOBTYgyRnsEh
2.4.1.58: Lipopolysaccharide glucosyltransferase I,hjInBkZlNhKz
7.2.4.1: NO_NAME,gsejRmsfYuVt
1.2.1.79: Succinate-semialdehyde dehydrogenase (NADP(+)),xePSsVScZCFP
6.1.1.10: Methionine--tRNA ligase,zEFsMFLybXiD
1.4.3.5: Pyridoxal 5'-phosphate synthase,wIbFBmeTMezR
3.5.3.1: Arginase,JavvzfOmLfMH
2.8.3.11: Citramalate CoA-transferase,YviZvWehcQTn
2.8.1.11: Molybdopterin-synthase sulfurtransferase,TXaVLgLfyYnS
5.4.99.1: Methylaspartate mutase,jEPzhtYDAOth
4.1.1.61: 4-hydroxybenzoate decarboxylase,lkfTfDGEfSDf
2.7.6.2: Thiamine diphosphokinase,IMlTasmamkaV
3.4.13.21: Dipeptidase E,ZBVygwYWBEsk
1.1.1.369: D-chiro-inositol 1-dehydrogenase,TITcGdOOtRhU
1.1.1.410: NO_NAME,UnoTZpDFGMnz
2.7.1.48: Uridine kinase,cDLpzYobGZSJ
2.7.1.218: NO_NAME,lvVlfbxoBLZD
1.1.1.23: Histidinol dehydrogenase,vogpZdEZJmYT
5.4.99.13: Isobutyryl-CoA mutase,XpBABmTDPUFa
6.3.4.22: tRNA(Ile)(2)-agmatinylcytidine synthase,rRXiWbSDelJz
2.3.1.30: Serine O-acetyltransferase,vbHdeHGQKQSd
3.4.13.9: Xaa-Pro dipeptidase,iyYpkFcxBXrq
3.1.27.6: Enterobacter ribonuclease,sGVxLPIjJnJf
3.5.1.10: Formyltetrahydrofolate deformylase,fcsgBIPMMcjV
5.4.99.12: tRNA pseudouridine(38-40) synthase,ZIefYVWgCoxX
3.1.2.1: Acetyl-CoA hydrolase,ivRlUsgEqoOM
2.7.1.184: Sulfofructose kinase,HnTBMXaCNRvh
5.4.99.27: tRNA pseudouridine(13) synthase,ESSddQermshb
1.1.1.122: D-threo-aldose 1-dehydrogenase,VOhuSaohSxRF
2.8.1.4: tRNA sulfurtransferase,FMhVyEkcmeRW
1.1.1.264: L-idonate 5-dehydrogenase (NAD(P)(+)),abuqMBxwMIxL
2.7.1.205: NO_NAME,ySMnTmhTSSvA
"1.14.12.13: 2-halobenzoate 1,2-dioxygenase",XpfqmafOghTY
3.4.21.89: Signal peptidase I,EAbDPwFBTsSC
2.8.1.6: Biotin synthase,bnjDVALEVCAP
3.5.4.32: 8-oxoguanine deaminase,BdeZMCXBTGdp
2.7.7.13: Mannose-1-phosphate guanylyltransferase,JIDZBXpeGBTw
2.3.1.86: Fatty-acyl-CoA synthase,bNLbCreIrVkM
2.7.1.190: NO_NAME,ykFVytOGqKNl
7.3.2.3: NO_NAME,sSkPMBcrvgPG
1.1.99.33: Formate dehydrogenase (acceptor),WkbojJStOuvj
3.4.14.11: Xaa-Pro dipeptidyl-peptidase,JBunXcljWYyx
"2.4.99.6: N-acetyllactosaminide alpha-2,3-sialyltransferase",NJyfsMQFSHZk
5.1.1.12: Ornithine racemase,NxHeNGuKNHRo
2.4.2.26: Protein xylosyltransferase,WoGzLMwJZuIG
2.6.1.107: Beta-methylphenylalanine transaminase,rVNejLheQSvR
2.8.3.12: Glutaconate CoA-transferase,ButGLAfzBgCd
2.3.2.13: Protein-glutamine gamma-glutamyltransferase,oGDlgsxPGdPs
4.1.1.35: UDP-glucuronate decarboxylase,usBJdVeGMzpl
"3.2.1.131: Xylan alpha-1,2-glucuronosidase",mEgARaZnoMNE
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase,vokLzaojJdRm
2.3.1.118: N-hydroxyarylamine O-acetyltransferase,VGYeHyQseboP
3.1.1.79: Hormone-sensitive lipase,XeadxsiYsmhO
2.7.7.70: D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase,uTBEYTcGaxEC
3.5.1.110: Peroxyureidoacrylate/ureidoacrylate amidohydrolase,OQfnPiKhUmdr
4.4.1.8: Cystathionine beta-lyase,UOaIrEYAWcHA
4.1.1.73: Tartrate decarboxylase,ENlThXGDEcas
2.6.1.81: Succinylornithine transaminase,ivraSHRmvfOI
"3.2.1.89: Arabinogalactan endo-beta-1,4-galactanase",lBgauTnjhbwH
2.7.1.41: Glucose-1-phosphate phosphodismutase,zAXRPQjhGZVY
6.4.1.1: Pyruvate carboxylase,zruptdQdeIcS
5.1.1.17: Isopenicillin-N epimerase,jSgFHvZXAzGW
5.4.2.3: Phosphoacetylglucosamine mutase,fYmcKBuNRXGf
6.2.1.13: Acetate--CoA ligase (ADP-forming),IDLEJIAysXCr
2.7.1.4: Fructokinase,YKrtYjxmbDor
1.1.1.88: Hydroxymethylglutaryl-CoA reductase,QbcqweBbdhoP
1.1.1.188: Prostaglandin-F synthase,VyXQDjxfcChI
2.8.3.1: Propionate CoA-transferase,tivDbFZSmNUt
3.1.3.31: Nucleotidase,uBoSHSwcpWAz
1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating),FUJNQpXDZOas
2.6.1.13: Ornithine aminotransferase,rlHpxoIHqakf
2.3.1.191: UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,CpTYqPJTNDFT
3.5.1.53: N-carbamoylputrescine amidase,gaRGmtGLiGbu
1.2.1.4: Aldehyde dehydrogenase (NADP(+)),SDPzXfUlnaRi
5.1.3.20: ADP-glyceromanno-heptose 6-epimerase,BiZNwPuLggNq
5.5.1.6: Chalcone isomerase,NXdlewjWfZtC
3.1.13.5: Ribonuclease D,usedDNOTcNOo
5.2.1.8: Peptidylprolyl isomerase,xwYJIwHgSZMS
6.3.2.17: Tetrahydrofolate synthase,bSxEkBWznEKp
1.2.1.10: Acetaldehyde dehydrogenase (acetylating),WyTlubxEjZea
2.5.1.89: diphosphate specific),hLCuXxNJAcyV
1.3.1.13: Prephenate dehydrogenase (NADP(+)),TKXGwmFvZxCo
3.5.1.101: L-proline amide hydrolase,tFQuQpskktkH
1.13.12.16: Nitronate monooxygenase,IWiUKrcDVgaq
6.3.4.19: tRNA(Ile)-lysidine synthetase,jKyYMOPkOKDc
4.1.1.44: 4-carboxymuconolactone decarboxylase,aICOTBFaPPuK
3.4.21.116: SpoIVB peptidase,ePxYJGvSNJwS
3.1.3.41: 4-nitrophenylphosphatase,EelerNYyjQQG
3.1.3.50: Sorbitol-6-phosphatase,ZjMjdYiVAuxJ
2.7.1.90: Diphosphate--fructose-6-phosphate 1-phosphotransferase,CvWoYwKQoFPK
1.13.12.19: 2-oxuglutarate dioxygenase (ethylene-forming),PjdxMyVQWGeW
1.8.1.8: Protein-disulfide reductase,kAKSxJZzpcxK
5.3.99.10: Thiazole tautomerase,xtNuoHbHUkMP
"6.3.5.11: Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)",pIEuCpVolUVD
3.5.1.25: N-acetylglucosamine-6-phosphate deacetylase,NCCJyhhBmzec
"5.1.3.23: UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase",PdHrRcznycBz
"3.2.1.58: Glucan 1,3-beta-glucosidase",hoMuReIuuKmC
2.7.1.74: Deoxycytidine kinase,BdMKOIVVqWhA
1.21.4.2: Glycine reductase,tLRrLORkKuLI
"2.1.1.201: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase",nhocuuGCUOBJ
2.7.7.40: D-ribitol-5-phosphate cytidylyltransferase,HDAJGlGMffqZ
2.3.2.18: glycyltransferase,kIumMOUjXwJH
1.1.1.218: Morphine 6-dehydrogenase,mYEhbciQRiws
4.2.1.7: Altronate dehydratase,iCfDrmDLtmjs
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme,wbFHVWsRYGEV
3.1.21.4: Type II site-specific deoxyribonuclease,mGTdqmwcOsmE
2.4.1.303: galactosyltransferase,xoYNISnOWYmt
1.7.2.4: Nitrous-oxide reductase,eJodiQbvqznj
2.1.2.5: Glutamate formimidoyltransferase,KmkuAqOaICep
3.2.1.199: NO_NAME,BsQimMcHnLPv
3.4.13.19: Membrane dipeptidase,AzGKsxCwuDWT
2.7.8.31: Undecaprenyl-phosphate glucose phosphotransferase,IVfGooqutbRl
"1.13.11.6: 3-hydroxyanthranilate 3,4-dioxygenase",tmerxleiuPLD
2.3.1.267: NO_NAME,ligNWMPwzaAp
1.12.1.2: Hydrogen dehydrogenase,unDohqGfOrAD
1.3.1.14: Dihydroorotate dehydrogenase (NAD(+)),QQvuYyXWGczJ
1.12.1.3: Hydrogen dehydrogenase (NADP(+)),hsaWjNudEGLh
2.1.3.9: N-acetylornithine carbamoyltransferase,eMOiGtdxifqS
1.8.4.14: L-methionine (R)-S-oxide reductase,jNFaUueplHPY
1.1.1.1: Alcohol dehydrogenase,GKgUIViblWND
4.2.1.112: Acetylene hydratase,wcPLrHiNnIBV
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase,hrnLuyUHBQad
4.1.99.3: Deoxyribodipyrimidine photo-lyase,TYUppSrsrzfT
3.5.1.30: 5-aminopentanamidase,nVUzUwoQdiSh
2.7.8.28: 2-phospho-L-lactate transferase,beXuQOIxGGJk
1.1.1.291: 2-hydroxymethylglutarate dehydrogenase,QQalbNxpgPoh
1.1.1.301: D-arabitol-phosphate dehydrogenase,pkcVmhtsKLye
1.2.1.38: N-acetyl-gamma-glutamyl-phosphate reductase,bcgfdIuXnHyQ
1.1.1.363: Glucose-6-phosphate dehydrogenase (NAD(P)(+)),vVwOvGerWQgR
