rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
118,Lawsonibacter_asaccharolyticus,0.0006542388085055541,0.2 %,97.64 %
119,Clostridium_bolteae_CAG_59,0.00061046639096172,0.19 %,97.82 %
120,Holdemania_filiformis,0.0005396137168502266,0.16 %,97.99 %
121,Coprobacillus_cateniformis,0.0005231308555557757,0.16 %,98.15 %
122,Romboutsia_ilealis,0.0005104758880906595,0.16 %,98.3 %
123,Alistipes_indistinctus,0.00047307968252563123,0.14 %,98.45 %
124,Coprobacter_sp,0.0004647029001573008,0.14 %,98.59 %
125,Clostridium_sp_CAG_299,0.0004630857707753103,0.14 %,98.73 %
126,Roseburia_sp_CAG_309,0.00041724228532118634,0.13 %,98.86 %
127,Lactobacillus_rogosae,0.0004171297012048778,0.13 %,98.98 %
128,Bacteroides_faecis,0.0004162078767712646,0.13 %,99.11 %
129,Butyricimonas_synergistica,0.00039991004782912045,0.12 %,99.23 %
130,Holdemanella_biformis,0.0003415442663849427,0.1 %,99.33 %
131,Clostridium_sp_CAG_253,0.0003209171559091699,0.1 %,99.43 %
132,Firmicutes_bacterium_CAG_110,0.00032070394593840035,0.1 %,99.53 %
133,Eubacterium_sp_CAG_251,0.000320043519119143,0.1 %,99.63 %
134,Slackia_isoflavoniconvertens,0.0003080285060491767,0.09 %,99.72 %
135,Bacteroides_intestinalis,0.00029678103634534923,0.09 %,99.81 %
136,Clostridium_scindens,0.0002465080766222767,0.08 %,99.89 %
137,Clostridium_sp_CAG_167,0.00021677876773048988,0.07 %,99.95 %
138,Paraprevotella_xylaniphila,0.00015516887708003083,0.05 %,100.0 %
