rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
90,Coprococcus_eutactus,0.00154,0.48 %,82.4 %
91,Bacteroides_stercoris,0.00152,0.48 %,82.88 %
92,Tyzzerella_nexilis,0.00152,0.48 %,83.36 %
93,Lachnospira_pectinoschiza,0.00151,0.47 %,83.83 %
94,Clostridium_citroniae,0.00144,0.45 %,84.28 %
95,Eubacterium_sp_36_13,0.00142,0.45 %,84.73 %
96,Bilophila_wadsworthia,0.00142,0.45 %,85.18 %
97,Firmicutes_bacterium_CAG_56,0.0014,0.44 %,85.62 %
98,Ruminococcus_sp_CAG_353,0.00139,0.44 %,86.05 %
99,Firmicutes_bacterium_CAG_129,0.00138,0.43 %,86.49 %
100,Eisenbergiella_massiliensis,0.00131,0.41 %,86.9 %
101,Barnesiella_intestinihominis,0.0013,0.41 %,87.3 %
102,Clostridium_sp_AF36_4,0.0013,0.41 %,87.71 %
103,Clostridiales_bacterium_KLE1615,0.00123,0.39 %,88.1 %
104,Alistipes_shahii,0.00123,0.39 %,88.49 %
105,Blautia_sp_CAG_257,0.00122,0.38 %,88.87 %
106,Firmicutes_bacterium_CAG_103,0.00119,0.37 %,89.24 %
107,Clostridium_clostridioforme,0.00119,0.37 %,89.62 %
108,Ruminococcus_sp_CAG_254,0.00119,0.37 %,89.99 %
109,Phascolarctobacterium_faecium,0.00114,0.36 %,90.35 %
110,Turicibacter_sanguinis,0.00107,0.34 %,90.69 %
111,Firmicutes_bacterium_CAG_83,0.00107,0.33 %,91.02 %
112,Firmicutes_bacterium_CAG_65_45_313,0.00106,0.33 %,91.35 %
113,Veillonella_sp_DORA_A_3_16_22,0.00102,0.32 %,91.67 %
114,Eubacterium_sp_CAG_252,0.00099,0.31 %,91.98 %
115,Firmicutes_bacterium_CAG_145,0.00099,0.31 %,92.29 %
116,Coprococcus_catus,0.00087,0.27 %,92.57 %
117,Eubacterium_sp_CAG_161,0.00087,0.27 %,92.84 %
118,Clostridium_disporicum,0.00085,0.27 %,93.11 %
119,Bacteroides_finegoldii,0.00083,0.26 %,93.37 %
120,Clostridium_lavalense,0.0008,0.25 %,93.62 %
121,Eubacterium_sp_CAG_115,0.00077,0.24 %,93.87 %
122,Firmicutes_bacterium_CAG_124,0.00077,0.24 %,94.11 %
123,Eubacterium_ventriosum,0.00074,0.23 %,94.34 %
124,Oscillibacter_sp_CAG_241,0.00071,0.22 %,94.56 %
125,Bacteroides_massiliensis,0.00069,0.22 %,94.78 %
126,Clostridium_sp_CAG_122,0.00069,0.22 %,95.0 %
127,Eisenbergiella_tayi,0.00062,0.19 %,95.19 %
128,Roseburia_sp_CAG_100,0.00062,0.19 %,95.39 %
129,Holdemania_filiformis,0.0006,0.19 %,95.57 %
130,Firmicutes_bacterium_CAG_137,0.00058,0.18 %,95.76 %
131,Roseburia_sp_CAG_471,0.00058,0.18 %,95.94 %
132,Ruminococcus_callidus,0.00055,0.17 %,96.11 %
133,Clostridium_sp_CAG_221,0.00055,0.17 %,96.28 %
134,Tyzzerella_sp,0.00055,0.17 %,96.46 %
135,Clostridium_aldenense,0.00055,0.17 %,96.63 %
136,Clostridium_sp_CAG_12237_41,0.00051,0.16 %,96.79 %
137,Dielma_fastidiosa,0.0005,0.16 %,96.94 %
138,Lawsonibacter_asaccharolyticus,0.00049,0.16 %,97.1 %
139,Clostridium_scindens,0.00049,0.15 %,97.25 %
140,Roseburia_sp_CAG_10041_57,0.00049,0.15 %,97.4 %
141,Holdemanella_biformis,0.00049,0.15 %,97.56 %
142,Proteobacteria_bacterium_CAG_139,0.00046,0.14 %,97.7 %
143,Coprobacillus_cateniformis,0.00045,0.14 %,97.84 %
144,Eubacterium_sp_CAG_192,0.00044,0.14 %,97.98 %
145,Faecalibacterium_sp_CAG_74,0.00043,0.13 %,98.12 %
146,Romboutsia_ilealis,0.00042,0.13 %,98.25 %
147,Alistipes_indistinctus,0.00041,0.13 %,98.38 %
148,Butyricimonas_synergistica,0.0004,0.12 %,98.5 %
149,Clostridium_sp_CAG_245,0.00038,0.12 %,98.62 %
150,Dorea_sp_CAG_317,0.00037,0.12 %,98.74 %
151,Haemophilus_sp_HMSC71H05,0.00036,0.11 %,98.85 %
152,Gordonibacter_pamelaeae,0.00033,0.1 %,98.95 %
153,Clostridium_sp_CAG_299,0.0003,0.09 %,99.04 %
154,Bacteroides_cellulosilyticus,0.00028,0.09 %,99.13 %
155,Clostridium_sp_CAG_217,0.00028,0.09 %,99.22 %
156,Clostridium_sp_CAG_253,0.00026,0.08 %,99.3 %
157,Clostridium_sp_CAG_167,0.00024,0.08 %,99.38 %
158,Roseburia_sp_CAG_309,0.00023,0.07 %,99.45 %
159,Eubacterium_sp_CAG_251,0.00022,0.07 %,99.52 %
160,Firmicutes_bacterium_CAG_110,0.00022,0.07 %,99.59 %
161,Bacteroides_intestinalis,0.00022,0.07 %,99.65 %
162,Faecalibacterium_sp_CAG_74_58_120,0.00021,0.07 %,99.72 %
163,Roseburia_sp_CAG_197,0.0002,0.06 %,99.78 %
164,Bacteroides_faecis,0.0002,0.06 %,99.85 %
165,Clostridium_sp_CAG_354,0.0002,0.06 %,99.91 %
166,Blautia_sp,0.00015,0.05 %,99.96 %
167,Clostridium_sp_CAG_138,0.00014,0.04 %,100.0 %
