rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
65,Akkermansia_muciniphila,0.00155,0.67 %,70.39 %
66,Firmicutes_bacterium_AF16_15,0.00154,0.67 %,71.06 %
67,Clostridium_bolteae,0.00154,0.67 %,71.72 %
68,Streptococcus_parasanguinis,0.00147,0.64 %,72.36 %
69,Eubacterium_siraeum,0.00144,0.63 %,72.99 %
70,Coprobacillus_cateniformis,0.00143,0.62 %,73.61 %
71,Lachnospira_pectinoschiza,0.00143,0.62 %,74.23 %
72,Clostridium_sp_AF36_4,0.00143,0.62 %,74.85 %
73,Firmicutes_bacterium_CAG_114,0.00141,0.61 %,75.47 %
74,Blautia_sp_CAG_52,0.00139,0.6 %,76.07 %
75,Bifidobacterium_breve,0.00136,0.59 %,76.66 %
76,Clostridium_sp_AM22_11AC,0.00133,0.58 %,77.24 %
77,Clostridium_leptum,0.00133,0.58 %,77.82 %
78,Bilophila_wadsworthia,0.00131,0.57 %,78.38 %
79,Bifidobacterium_adolescentis,0.00129,0.56 %,78.94 %
80,Barnesiella_intestinihominis,0.00128,0.56 %,79.5 %
81,Alistipes_putredinis,0.00127,0.55 %,80.05 %
82,Alistipes_obesi,0.00124,0.54 %,80.59 %
83,Subdoligranulum_sp_APC924_74,0.00117,0.51 %,81.09 %
84,Coprococcus_comes,0.00113,0.49 %,81.58 %
85,Tyzzerella_nexilis,0.00113,0.49 %,82.07 %
86,Eubacterium_sp_CAG_252,0.00104,0.45 %,82.52 %
87,Dialister_invisus,0.00102,0.44 %,82.96 %
88,Gemmiger_formicilis,0.00101,0.44 %,83.4 %
89,Asaccharobacter_celatus,0.00098,0.43 %,83.83 %
90,Turicibacter_sanguinis,0.00098,0.42 %,84.25 %
91,Clostridium_spiroforme,0.00097,0.42 %,84.68 %
92,Blautia_sp_CAG_257,0.00097,0.42 %,85.09 %
93,Clostridium_sp_CAG_122,0.00097,0.42 %,85.51 %
94,Eggerthella_sp_CAG_298,0.00096,0.42 %,85.93 %
95,Lactococcus_lactis,0.00095,0.41 %,86.34 %
96,Bacteroides_stercoris,0.00093,0.4 %,86.74 %
97,Clostridium_clostridioforme,0.00092,0.4 %,87.14 %
98,Anaerostipes_caccae,0.00091,0.39 %,87.53 %
99,Eisenbergiella_massiliensis,0.0009,0.39 %,87.93 %
100,Clostridium_sp_CAG_75,0.00088,0.38 %,88.31 %
101,Firmicutes_bacterium_CAG_65_45_313,0.00088,0.38 %,88.69 %
102,Clostridium_lavalense,0.00085,0.37 %,89.06 %
103,Clostridium_aldenense,0.00084,0.36 %,89.42 %
104,Eubacterium_ramulus,0.00083,0.36 %,89.78 %
105,Eubacterium_sp_36_13,0.00083,0.36 %,90.14 %
106,Clostridium_citroniae,0.00082,0.36 %,90.5 %
107,Eubacterium_sp_CAG_180,0.00082,0.36 %,90.86 %
108,Firmicutes_bacterium_CAG_56,0.00079,0.34 %,91.2 %
109,Bacteroides_finegoldii,0.00077,0.34 %,91.53 %
110,Odoribacter_splanchnicus,0.00075,0.33 %,91.86 %
111,Clostridium_sp_CAG_12237_41,0.00074,0.32 %,92.18 %
112,Phascolarctobacterium_faecium,0.00071,0.31 %,92.49 %
113,Ruminococcus_sp_CAG_254,0.00069,0.3 %,92.79 %
114,Dielma_fastidiosa,0.00068,0.3 %,93.08 %
115,Clostridiales_bacterium_KLE1615,0.00066,0.29 %,93.37 %
116,Roseburia_sp_CAG_100,0.00065,0.28 %,93.65 %
117,Holdemania_filiformis,0.00063,0.27 %,93.92 %
118,Lawsonibacter_asaccharolyticus,0.00059,0.25 %,94.18 %
119,Clostridium_disporicum,0.00058,0.25 %,94.43 %
120,Clostridium_sp_CAG_299,0.00057,0.25 %,94.68 %
121,Butyricimonas_synergistica,0.00057,0.25 %,94.92 %
122,Oscillibacter_sp_57_20,0.00056,0.24 %,95.17 %
123,Eubacterium_ventriosum,0.00052,0.23 %,95.39 %
124,Firmicutes_bacterium_CAG_83,0.00051,0.22 %,95.62 %
125,Coprococcus_catus,0.0005,0.22 %,95.84 %
126,Alistipes_shahii,0.0005,0.22 %,96.05 %
127,Dorea_sp_CAG_317,0.0005,0.22 %,96.27 %
128,Eisenbergiella_tayi,0.00049,0.21 %,96.48 %
129,Roseburia_sp_CAG_10041_57,0.00046,0.2 %,96.68 %
130,Clostridium_scindens,0.00046,0.2 %,96.88 %
131,Gordonibacter_pamelaeae,0.00042,0.18 %,97.06 %
132,Coprococcus_eutactus,0.00041,0.18 %,97.24 %
133,Ruminococcus_callidus,0.00038,0.16 %,97.4 %
134,Haemophilus_sp_HMSC71H05,0.00037,0.16 %,97.56 %
135,Clostridium_sp_CAG_217,0.00035,0.15 %,97.72 %
136,Blautia_sp,0.00035,0.15 %,97.87 %
137,Bacteroides_massiliensis,0.00032,0.14 %,98.01 %
138,Clostridium_sp_CAG_221,0.00032,0.14 %,98.15 %
139,Lachnospiraceae_bacterium_OF09_33XD,0.00032,0.14 %,98.29 %
140,Romboutsia_ilealis,0.00031,0.13 %,98.42 %
141,Firmicutes_bacterium_CAG_124,0.0003,0.13 %,98.55 %
142,Eubacterium_sp_CAG_115,0.0003,0.13 %,98.68 %
143,Firmicutes_bacterium_CAG_129,0.00029,0.13 %,98.81 %
144,Blautia_producta,0.00029,0.12 %,98.93 %
145,Firmicutes_bacterium_CAG_145,0.00026,0.11 %,99.05 %
146,Firmicutes_bacterium_CAG_103,0.00024,0.11 %,99.15 %
147,Proteobacteria_bacterium_CAG_139,0.00022,0.1 %,99.25 %
148,Veillonella_sp_DORA_A_3_16_22,0.00022,0.09 %,99.34 %
149,Bacteroides_intestinalis,0.00021,0.09 %,99.43 %
150,Holdemanella_biformis,0.00019,0.08 %,99.52 %
151,Tyzzerella_sp,0.00018,0.08 %,99.6 %
152,Firmicutes_bacterium_CAG_137,0.00014,0.06 %,99.66 %
153,Oscillibacter_sp_CAG_241,0.00014,0.06 %,99.72 %
154,Bacteroides_faecis,0.00012,0.05 %,99.77 %
155,Clostridium_asparagiforme,0.00012,0.05 %,99.82 %
156,Bacteroides_cellulosilyticus,0.00011,0.05 %,99.87 %
157,Eubacterium_sp_CAG_192,0.00011,0.05 %,99.92 %
158,Eubacterium_sp_CAG_161,0.00011,0.05 %,99.96 %
159,Alistipes_indistinctus,8.0e-5,0.04 %,100.0 %
